,Ticker,Price,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Gross Profit,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash Per Share,Current Ratio,Book Value Per Share,Cash Flow,Beta,Class
3437,mmm,63.2917,0.346,16.82,2.55,5.23,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.56,2.66,9.518,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.69,4
3438,mmm,63.86,0.346,17.09,2.55,5.22,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.55,2.67,9.569,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.69,4
3439,mmm,64.5989,0.346,17.21,2.6,5.32,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.59,2.72,9.746,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.69,4
3440,mmm,63.99,0.346,17.22,2.58,5.28,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.59,2.72,9.733,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.69,4
3441,mmm,64.5421,0.346,17.1,2.59,5.3,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.59,2.71,9.705,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.69,4
3442,mmm,64.5421,0.346,17.1,2.59,5.3,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.59,2.71,9.705,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.69,4
3443,mmm,61.4188,0.356,14.77,2.39,5.51,16.8,20.58,14.7,38.37,30.666,15.87411764705882,1.45,2.46,9.589,10790000000.0,5.06,54.5,8.6,2.612,1.222,13.561,3840000000.0,0.72,4
3444,mmm,68.9766,0.363,16.64,2.6,6.02,16.8,22.34,15.9,37.84,30.666,15.87411764705882,1.58,2.56,9.163,11210000000.0,5.06,57.6,8.6,2.613,1.222,13.96,3840000000.0,0.81,4
3445,mmm,71.7361,0.458,15.25,2.7,6.26,18.57,21.83,14.9,41.06,31.387,15.87411764705882,1.8,2.8,10.235,11210000000.0,5.73,52.2,6.1,3.174,1.296,13.96,3800000000.0,1.06,4
3446,mmm,72.3605,0.458,15.38,2.74,6.33,18.57,21.83,14.9,41.06,31.387,15.87411764705882,1.82,2.84,10.357,11210000000.0,5.73,52.2,6.1,3.174,1.296,13.96,3800000000.0,1.13,4
3447,mmm,71.8593,0.458,15.4,2.73,6.31,18.57,21.83,14.9,41.06,31.387,15.87411764705882,1.82,2.83,10.316,11210000000.0,5.73,52.2,6.1,3.174,1.296,13.96,3800000000.0,1.13,4
3448,mmm,72.3933,0.458,15.32,2.72,6.3,18.57,21.83,14.9,41.06,31.387,15.87411764705882,1.63,2.82,10.281,11210000000.0,5.73,52.2,6.1,3.174,1.296,13.96,3800000000.0,1.07,4
3449,mmm,70.2012,0.477,14.06,2.52,5.52,18.39,21.98,14.04,40.28,33.187,15.87411764705882,1.59,2.63,9.814,11210000000.0,5.99,7.4,5.4,3.784,1.456,15.381,4040000000.0,0.78,4
3450,mmm,63.2301,0.477,12.32,2.23,4.89,18.39,21.98,14.04,40.28,33.187,15.87411764705882,1.38,2.34,8.73,11210000000.0,5.99,7.4,5.4,3.784,1.456,15.381,4040000000.0,0.75,4
3451,mmm,54.5042,0.577,11.43,1.61,3.43,14.54,22.35,13.96,32.58,36.897,15.87411764705882,1.02,1.77,6.621,11730000000.0,5.285,3.2,6.2,4.282,1.539,17.607,4960000000.0,0.69,1
